LS,ILS,GRASP,GGA
0.859375,0.96875,0.994141,0.978516
0.867188,0.972656,0.992188,0.984375
0.867188,0.96875,0.994141,0.988281
0.871094,0.960938,0.992188,0.984375
0.871094,0.984375,0.992188,0.984375
0.857422,0.949219,0.986328,0.978516
0.857422,0.96875,0.994141,0.984375
0.865234,0.972656,0.994141,0.986328
0.878906,0.957031,0.990234,0.990234
0.873294,0.966862,0.994152,0.988304
