LS,ILS,GRASP
0.584211,0.642105,0.936842
0.594737,0.757895,0.915789
0.596859,0.65445, 0.942408
0.604167,0.630208,0.916667 
0.591623,0.675393,0.947644
0.586387,0.670157,0.926702
0.583333,0.796875,0.942708
0.599119,0.526926,0.927461
0.49153,0.530042, 0.948187
0.589744,0.635897,0.938462
