LS,ILS,GRASP,GGA,SGA
0.551375,0.586107,0.992764,0.997106,0.912281
0.565217,0.588406,0.982609,0.995652,0.929825
0.560694,0.57948,0.986994,0.986994,0.964912
0.555716,0.57453,0.991317,0.997106,0.929825
0.555716,0.587554,0.991317,0.986975,0.842105
0.565029,0.595376,0.988439,0.995665,0.964912
0.561505,0.587554,0.994211,0.997106,0.929825
0.546243,0.57659,0.99711,0.99711,0.894737
0.589001,0.633864,0.988423,0.997106,0.877193
0.568741,0.597685,0.98987,0.991317,0.946429
