LS,ILS,GRASP
0.608696,0.608696,0.565217 
0.608696,0.521739,0.565217
0.695652,0.73913,0.73913
0.727273,0.681818,0.636364
0.681818,0.636364,0.727273
0.545455,0.681818,0.590909
0.619048,0.619048,0.619048
0.590674,0.8,0.85
0.595855,0.8,0.6
0.722222,0.722222,0.777778
