LS,ILS,GRASP,GGA,SGA
0.61039,0.636364,0.636364,0.636364,0.675325
0.679487,0.705128,0.75641,0.75641,0.641026
0.671053,0.723684,0.763158,0.776316,0.75
0.688312,0.701299,0.662338,0.727273,0.688312
0.662338,0.675325,0.766234,0.766234,0.766234
0.565789,0.578947,0.789474,0.776316,0.592105
0.623377,0.675325,0.74026,0.714286,0.597403
0.657895,0.671053,0.789474,0.802632,0.671053
0.532468,0.532468,0.649351,0.714286,0.597403
0.675325,0.636364,0.74026,0.779221,0.688312
