LS,ILS,GRASP
0.879699,0.969925,0.954887 
0.901515,0.969697,0.969697
0.901515,0.969697,0.977273
0.909774,0.969925,0.954887
0.901515,0.969697,0.954545
0.901515,0.954545,0.977273
0.887218,0.954887,0.954887
0.878788,0.94697,0.954545
0.873134,0.955224,0.962687
0.878788,0.977273,0.977273
