LS,ILS,GRASP
0.926087,0.93913,0.704348 
0.973684,0.95614,0.982456
0.965065,0.965065,0.755459
0.947598,0.943231,0.947598 
0.951754,0.916667,0.947368
0.951965,0.960699,0.720524
0.973799,0.960699,0.781659
0.973913,0.947826,0.956522
0.96087,0.952174,0.956522
0.956332,0.934498,0.733624
