LS,ILS,GRASP
0.771383,0.894403,0.989968 
0.761555,0.885504,0.761029
0.767491,0.897422,0.991583
0.771699,0.895318,0.769069
0.769799,0.900739,0.762936
0.763675,0.894318,0.992034
0.759454,0.892332,0.987395
0.762936,0.895459,0.765047
0.766125,0.90194,0.768747
0.769515,0.910338,0.989979
