name,search,fitness,points,function,reduction,quality,points',function',reduction',quality',time
australian,ls,eul,365,1,0.471014,0.350128,301,0.989717,0.563768,0.434809,216.038
australian,ls,squared,366,1,0.469565,0.220491,261,0.951049,0.621739,0.349641,273.138
pima,ls,weight,391,1,0.490885,0.745443,334,1,0.565104,0.782552,240.395
pima,ls,eul,397,1,0.483073,0.361436,312,0.97807,0.59375,0.458215,332.172
pima,ls,squared,398,1,0.481771,0.232103,313,0.98022,0.592448,0.337246,358.191
glass,ls,weight,99,1,0.535211,0.767606,86,1,0.596244,0.798122,11.8607
glass,ls,eul,98,1,0.539906,0.416606,82,0.969466,0.615023,0.474479,10.6426
glass,ls,squared,100,1,0.530516,0.281448,86,0.984252,0.596244,0.344398,11.7386
iris,ls,weight,21,1,0.85906,0.92953,16,1,0.892617,0.946309,1.20653
iris,ls,squared,21,1,0.85906,0.737985,13,0.992647,0.912752,0.820909,1.79174
iris,ls,eul,19,1,0.873333,0.811789,17,1,0.886667,0.830497,1.08331
blogger,ls,weight,22,1,0.62069,0.810345,22,1,0.62069,0.810345,0.392279
blogger,ls,eul,22,1,0.62069,0.500623,21,0.972973,0.637931,0.500623,0.390418
blogger,ls,squared,25,1,0.528302,0.279103,20,0.969697,0.622642,0.364543,0.354497
