bcw,ls,eul,397,1,0.427128,0.310106,322,0.967655,0.535354,0.395005,296.947
bcw,ls,squared,401,1,0.421356,0.177541,317,0.962766,0.542569,0.272867,290.5
australian,ls,weight,364,1,0.472464,0.736232,308,1,0.553623,0.776812,201.033
australian,ls,eul,364,1,0.472464,0.35148,301,0.989717,0.563768,0.434809,213.714
australian,ls,squared,362,1,0.475362,0.225969,241,0.935412,0.650725,0.37051,308.339
pima,ls,weight,397,1,0.483073,0.741536,335,1,0.563802,0.781901,268.319
pima,ls,eul,400,1,0.479167,0.357758,322,0.988789,0.580729,0.451465,370.664
pima,ls,squared,398,1,0.481771,0.232103,312,0.982456,0.59375,0.340278,391.744
glass,ls,weight,98,1,0.539906,0.769953,89,1,0.58216,0.79108,1.31183
glass,ls,eul,100,1,0.530516,0.407274,88,1,0.586854,0.464606,2.19198
glass,ls,squared,102,1,0.521127,0.271573,86,0.992126,0.596244,0.349931,2.11186
iris,ls,weight,20,1,0.866667,0.933333,16,1,0.893333,0.946667,0.199042
iris,ls,squared,20,1,0.866667,0.751111,16,1,0.893333,0.798044,0.197969
iris,ls,eul,20,1,0.866667,0.802528,16,1,0.893333,0.839945,0.199092
blogger,ls,weight,24,1,0.538462,0.769231,22,1,0.576923,0.788462,0.067944
blogger,ls,eul,24,1,0.538462,0.415165,22,1,0.576923,0.454263,0.068314
blogger,ls,squared,24,1,0.538462,0.289941,22,1,0.576923,0.33284,0.067498
bcw,ls,weight,403,1,0.41847,0.709235,347,1,0.499278,0.749639,206.028
bcw,ls,eul,400,1,0.423631,0.306992,319,0.965333,0.540346,0.398506,316.469
bcw,ls,squared,397,1,0.427128,0.182439,300,0.951654,0.5671,0.291257,376.104
australian,ls,weight,363,1,0.473913,0.736957,306,1,0.556522,0.778261,203.446
australian,ls,eul,365,1,0.471014,0.350128,301,0.989717,0.563768,0.434809,216.038
australian,ls,squared,366,1,0.469565,0.220491,261,0.951049,0.621739,0.349641,273.138
pima,ls,weight,391,1,0.490885,0.745443,334,1,0.565104,0.782552,240.395
pima,ls,eul,397,1,0.483073,0.361436,312,0.97807,0.59375,0.458215,332.172
pima,ls,squared,398,1,0.481771,0.232103,313,0.98022,0.592448,0.337246,358.191
glass,ls,weight,99,1,0.535211,0.767606,86,1,0.596244,0.798122,11.8607
glass,ls,eul,98,1,0.539906,0.416606,82,0.969466,0.615023,0.474479,10.6426
glass,ls,squared,100,1,0.530516,0.281448,86,0.984252,0.596244,0.344398,11.7386
iris,ls,weight,21,1,0.85906,0.92953,16,1,0.892617,0.946309,1.20653
iris,ls,squared,21,1,0.85906,0.737985,13,0.992647,0.912752,0.820909,1.79174
iris,ls,eul,19,1,0.873333,0.811789,17,1,0.886667,0.830497,1.08331
blogger,ls,weight,22,1,0.62069,0.810345,22,1,0.62069,0.810345,0.392279
blogger,ls,eul,22,1,0.62069,0.500623,21,0.972973,0.637931,0.500623,0.390418
blogger,ls,squared,25,1,0.528302,0.279103,20,0.969697,0.622642,0.364543,0.354497
glass,ls,weight,100,1,0.530516,0.765258,89,1,0.58216,0.79108,8.96786
glass,ls,eul,98,1,0.539906,0.416606,84,0.976744,0.605634,0.469531,9.72513
glass,ls,squared,101,1,0.525822,0.276488,86,0.984252,0.596244,0.344398,10.8911
iris,ls,weight,22,1,0.853333,0.926667,16,1,0.893333,0.946667,1.82969
iris,ls,squared,19,1,0.873333,0.762711,18,1,0.88,0.7744,1.11005
iris,ls,eul,19,1,0.873333,0.811789,14,0.992647,0.906667,0.849456,1.26022
blogger,ls,weight,25,1,0.509804,0.754902,22,1,0.568627,0.784314,0.343786
blogger,ls,eul,25,1,0.509804,0.386994,22,1,0.568627,0.445703,0.344381
blogger,ls,squared,22,1,0.576923,0.33284,22,1,0.576923,0.33284,0.335628
glass,ls,weight,102,1,0.521127,0.760563,91,1,0.57277,0.786385,9.84313
glass,ls,eul,99,1,0.535211,0.411929,88,1,0.586854,0.464606,11.3012
glass,ls,squared,97,1,0.544601,0.29659,84,0.992248,0.605634,0.361128,14.4422
iris,ls,weight,21,1,0.858108,0.929054,16,1,0.891892,0.945946,1.37748
iris,ls,squared,20,1,0.866667,0.751111,16,1,0.893333,0.798044,1.36352
iris,ls,eul,19,1,0.873333,0.811789,14,0.992647,0.906667,0.849456,1.26233
blogger,ls,weight,22,1,0.607143,0.803571,22,1,0.607143,0.803571,0.377207
blogger,ls,eul,22,1,0.607143,0.486056,22,1,0.607143,0.486056,0.376618
blogger,ls,squared,22,1,0.607143,0.368622,22,1,0.607143,0.368622,0.376958
